Nom de l'entreprise;SIREN;Chiffre d'affaires;Marge nette
AU VIEUX CAMPEUR MARSEILLE;443313697;1701877;6
SOCIETE D'EXERICE LIBERAL A RESPONSABILITE LIMITEE FABRICE GOUBARD, CHRISTOPHE GOUBARD, GISELE LAVEISSIERE, NOTAIRES ASS;312153570;1692255;4
VMS VALVES MARINE SERVICE;534712187;1593983;5
QLAR FRANCE SAS;484597521;1859773;20
JCT;503427122;1774362;2
SOLS CONCEPT;802158345;1522450;4
NATM NOUVELLLES AVANCEES TECHNO MEDICALES;414498329;1531375;11
AKS TRANSPORT;831890124;1824576;8
PBTP PROVOST BTP;800527202;1801393;3
LA FRUITIERE;070802368;1625875;53
MARKET ACADEMY;798979704;1645624;14
COTE JARDIN;499220697;1504302;33
C2A;825181126;1688179;3
SOCIETE PLOMBERIE AZUREENNE CHAUFFAGE ENTRETIEN SPACE;389863424;1724503;5
SOCIETE GERVAIS WEBER;329581755;1511195;1
VITALSPA BOUC BEL AIR;801224627;1696840;7
SYAM;343987640;1822301;8
ARVOLIG;850079948;1587048;9
